10/19/2015 16:07:59 - 1770	M	7567,-1,ra_san04
10/19/2015 16:07:59 - 1770	M	608,-1,ra_san04
10/19/2015 16:07:59 - 1770	M	7563,-1,ra_san04
10/19/2015 16:07:59 - 1770	M	5172,-1,ra_san04
10/19/2015 16:07:59 - 1770	M	12183,-1,ra_san04
10/19/2015 16:07:59 - 1770	M	7563,-1,ra_san04
10/19/2015 16:08:08 - 1770	M	7567,-1,ra_san04
10/19/2015 16:08:08 - 1770	M	7563,-1,ra_san04
10/19/2015 16:08:08 - 1770	M	5172,-1,ra_san04
10/19/2015 16:08:08 - 1770	M	12183,-1,ra_san04
10/19/2015 16:08:08 - 1770	M	7563,-1,ra_san04
10/19/2015 16:08:08 - 1770	M	2366,-1,ra_san04
10/19/2015 16:08:14 - 1770	M	7567,-1,ra_san04
10/19/2015 16:08:14 - 1770	M	608,-1,ra_san04
10/19/2015 16:08:14 - 1770	M	7563,-1,ra_san04
10/19/2015 16:08:14 - 1770	M	5172,-1,ra_san04
10/19/2015 16:08:14 - 1770	M	12183,-1,ra_san04
10/19/2015 16:08:14 - 1770	M	7563,-1,ra_san04
10/19/2015 16:08:14 - 1770	M	2366,-1,ra_san04
10/19/2015 16:08:15 - 1770	M	7567,-1,ra_san04
10/19/2015 16:08:15 - 1770	M	608,-1,ra_san04
10/19/2015 16:08:15 - 1770	M	7563,-1,ra_san04
10/19/2015 16:08:15 - 1770	M	5172,-1,ra_san04
10/19/2015 16:08:15 - 1770	M	7563,-1,ra_san04
10/19/2015 16:08:15 - 1770	M	2366,-1,ra_san04
10/19/2015 16:08:22 - 1770	M	7567,-1,ra_san04
10/19/2015 16:08:22 - 1770	M	7563,-1,ra_san04
10/19/2015 16:08:22 - 1770	M	5172,-1,ra_san04
10/19/2015 16:08:22 - 1770	M	7563,-1,ra_san04
10/19/2015 16:08:22 - 1770	M	2366,-1,ra_san04
10/19/2015 16:08:27 - 1770	M	7567,-1,ra_san04
10/19/2015 16:08:27 - 1770	M	608,-1,ra_san04
10/19/2015 16:08:27 - 1770	M	7563,-1,ra_san04
10/19/2015 16:08:27 - 1770	M	5172,-1,ra_san04
10/19/2015 16:08:27 - 1770	M	7563,-1,ra_san04
10/19/2015 16:08:27 - 1770	M	2366,-1,ra_san04
10/19/2015 16:08:31 - 1770	M	7567,-1,ra_san04
10/19/2015 16:08:31 - 1770	M	7563,-1,ra_san04
10/19/2015 16:08:31 - 1770	M	5172,-1,ra_san04
10/19/2015 16:08:31 - 1770	M	7563,-1,ra_san04
10/19/2015 16:08:31 - 1770	M	2366,-1,ra_san04
10/19/2015 16:08:38 - 1770	M	7567,-1,ra_san04
10/19/2015 16:08:38 - 1770	M	608,-1,ra_san04
10/19/2015 16:08:38 - 1770	M	7563,-1,ra_san04
10/19/2015 16:08:38 - 1770	M	5172,-1,ra_san04
10/19/2015 16:08:38 - 1770	M	12183,-1,ra_san04
10/19/2015 16:08:38 - 1770	M	7563,-1,ra_san04
10/19/2015 16:08:38 - 1770	M	2366,-1,ra_san04
10/19/2015 16:08:40 - 1769	M	7567,-1,ra_san04
10/19/2015 16:08:40 - 1769	M	7563,-1,ra_san04
10/19/2015 16:08:40 - 1769	M	12183,-1,ra_san04
10/19/2015 16:08:40 - 1769	M	7563,-1,ra_san04
10/19/2015 16:08:47 - 1770	M	7567,-1,ra_san04
10/19/2015 16:08:47 - 1770	M	608,-1,ra_san04
10/19/2015 16:08:47 - 1770	M	7563,-1,ra_san04
10/19/2015 16:08:47 - 1770	M	5172,-1,ra_san04
10/19/2015 16:08:47 - 1770	M	12183,-1,ra_san04
10/19/2015 16:08:47 - 1770	M	7563,-1,ra_san04
10/19/2015 16:08:47 - 1770	M	2366,-1,ra_san04
10/19/2015 16:08:53 - 1770	M	7567,-1,ra_san04
10/19/2015 16:08:53 - 1770	M	608,-1,ra_san04
10/19/2015 16:08:53 - 1770	M	7563,-1,ra_san04
10/19/2015 16:08:53 - 1770	M	5172,-1,ra_san04
10/19/2015 16:08:53 - 1770	M	12183,-1,ra_san04
10/19/2015 16:08:53 - 1770	M	7563,-1,ra_san04
10/19/2015 16:08:53 - 1770	M	2366,-1,ra_san04
10/19/2015 16:11:04 - 1769	M	7567,-1,ra_san04
10/19/2015 16:11:04 - 1769	M	2422,-1,ra_san04
10/19/2015 16:11:04 - 1769	M	7563,-1,ra_san04
10/19/2015 16:11:04 - 1769	M	12183,-1,ra_san04
10/19/2015 16:11:04 - 1769	M	7563,-1,ra_san04
10/19/2015 16:11:06 - 1769	M	7567,-1,ra_san04
10/19/2015 16:11:06 - 1769	M	7563,-1,ra_san04
10/19/2015 16:11:06 - 1769	M	12183,-1,ra_san04
10/19/2015 16:11:06 - 1769	M	7563,-1,ra_san04
10/19/2015 16:11:06 - 1770	M	7567,-1,ra_san04
10/19/2015 16:11:06 - 1770	M	608,-1,ra_san04
10/19/2015 16:11:06 - 1770	M	7563,-1,ra_san04
10/19/2015 16:11:06 - 1770	M	5172,-1,ra_san04
10/19/2015 16:11:06 - 1770	M	12183,-1,ra_san04
10/19/2015 16:11:06 - 1770	M	7563,-1,ra_san04
10/19/2015 16:11:06 - 1770	M	2366,-1,ra_san04
10/19/2015 16:11:10 - 1770	M	7567,-1,ra_san04
10/19/2015 16:11:10 - 1770	M	608,-1,ra_san04
10/19/2015 16:11:10 - 1770	M	7563,-1,ra_san04
10/19/2015 16:11:10 - 1770	M	5172,-1,ra_san04
10/19/2015 16:11:10 - 1770	M	12183,-1,ra_san04
10/19/2015 16:11:10 - 1770	M	7563,-1,ra_san04
10/19/2015 16:11:27 - 1774	M	587,-1,ra_san04
10/19/2015 16:11:27 - 1774	M	7340,-1,ra_san04
10/19/2015 16:11:27 - 1774	M	985,-1,ra_san04
10/19/2015 16:11:27 - 1774	M	1061,-1,ra_san04
10/19/2015 16:11:27 - 1774	M	7563,-1,ra_san04
10/19/2015 16:11:27 - 1774	M	1375,-1,ra_san04
10/19/2015 16:11:39 - 1769	M	7567,-1,ra_san04
10/19/2015 16:11:39 - 1769	M	7563,-1,ra_san04
10/19/2015 16:11:39 - 1769	M	12183,-1,ra_san04
10/19/2015 16:11:39 - 1769	M	7563,-1,ra_san04
10/19/2015 16:11:46 - 1773	M	587,-1,ra_san04
10/19/2015 16:11:46 - 1773	M	7340,-1,ra_san04
10/19/2015 16:11:46 - 1773	M	938,-1,ra_san04
10/19/2015 16:11:46 - 1773	M	7563,-1,ra_san04
10/19/2015 16:11:46 - 1773	M	1061,-1,ra_san04
10/19/2015 16:11:52 - 1770	M	7567,-1,ra_san04
10/19/2015 16:11:52 - 1770	M	608,-1,ra_san04
10/19/2015 16:11:52 - 1770	M	7563,-1,ra_san04
10/19/2015 16:11:52 - 1770	M	5172,-1,ra_san04
10/19/2015 16:11:52 - 1770	M	12183,-1,ra_san04
10/19/2015 16:11:52 - 1770	M	7563,-1,ra_san04
10/19/2015 16:11:52 - 1770	M	2366,-1,ra_san04
10/19/2015 16:11:52 - 1773	M	587,-1,ra_san04
10/19/2015 16:11:52 - 1773	M	7340,-1,ra_san04
10/19/2015 16:11:52 - 1773	M	938,-1,ra_san04
10/19/2015 16:11:52 - 1773	M	7563,-1,ra_san04
10/19/2015 16:11:52 - 1773	M	1061,-1,ra_san04
10/19/2015 16:11:52 - 1773	M	2426,-1,ra_san04
